Area,Date,FirstTrialPhase,Material,ContaminationRate,Treated,Post,Treated_Post
UTOWN,3/14/2020,3,PaperContaminant,3.444444444,1,1,1
UTOWN,3/16/2020,3,PaperContaminant,6.888888889,1,1,1
UTOWN,3/17/2020,3,PaperContaminant,2.777777778,1,1,1
ENGINE,1/15/2020,1,PlasticContaminant,35.34013605,0,0,0
ENGINE,1/16/2020,1,PlasticContaminant,43.92536476,0,0,0
ENGINE,1/17/2020,1,PlasticContaminant,50.48332517,0,0,0
ENGINE,1/18/2020,1,PlasticContaminant,47.21420555,0,0,0
ENGINE,1/19/2020,1,PlasticContaminant,44.44444444,0,0,0
ENGINE,1/20/2020,1,PlasticContaminant,44.40917108,0,0,0
ENGINE,1/21/2020,1,PlasticContaminant,49.06837412,0,0,0
ENGINE,1/22/2020,1,PlasticContaminant,48.08186291,0,0,0
ENGINE,1/23/2020,1,PlasticContaminant,40.2004477,0,0,0
ENGINE,1/29/2020,1,PlasticContaminant,49.01804369,0,0,0
ENGINE,1/30/2020,1,PlasticContaminant,53.63295655,0,0,0
ENGINE,1/31/2020,1,PlasticContaminant,60.70707071,0,0,0
ENGINE,2/1/2020,1,PlasticContaminant,14.07407407,0,0,0
ENGINE,2/3/2020,1,PlasticContaminant,52.83950617,0,0,0
ENGINE,2/4/2020,1,PlasticContaminant,60.55555556,0,0,0
ENGINE,2/5/2020,1,PlasticContaminant,67.58467023,0,0,0
ENGINE,2/6/2020,1,PlasticContaminant,55.74635241,0,0,0
ENGINE,2/7/2020,1,PlasticContaminant,41.04173312,0,0,0
ENGINE,2/10/2020,1,PlasticContaminant,60.36116862,0,0,0
ENGINE,2/11/2020,2,PlasticContaminant,46.52680653,0,1,0
ENGINE,2/12/2020,2,PlasticContaminant,41.79012346,0,1,0
ENGINE,2/13/2020,2,PlasticContaminant,47.92892293,0,1,0
ENGINE,2/14/2020,2,PlasticContaminant,32.10622711,0,1,0
ENGINE,2/15/2020,2,PlasticContaminant,18.33333333,0,1,0
ENGINE,2/17/2020,2,PlasticContaminant,40.70037106,0,1,0
ENGINE,2/18/2020,2,PlasticContaminant,41.11649953,0,1,0
ENGINE,2/19/2020,2,PlasticContaminant,25.6122449,0,1,0
ENGINE,2/20/2020,2,PlasticContaminant,31.14821686,0,1,0
ENGINE,2/21/2020,2,PlasticContaminant,31.21521336,0,1,0
ENGINE,2/22/2020,2,PlasticContaminant,39.05895692,0,1,0
ENGINE,3/4/2020,3,PlasticContaminant,37.29464587,0,1,0
ENGINE,3/5/2020,3,PlasticContaminant,34.16357452,0,1,0
ENGINE,3/6/2020,3,PlasticContaminant,36.32653061,0,1,0
ENGINE,3/7/2020,3,PlasticContaminant,40.77777778,0,1,0
ENGINE,3/9/2020,3,PlasticContaminant,49.1025641,0,1,0
ENGINE,3/10/2020,3,PlasticContaminant,57.1699449,0,1,0
ENGINE,3/11/2020,3,PlasticContaminant,50.54499072,0,1,0
ENGINE,3/12/2020,3,PlasticContaminant,41.92949907,0,1,0
ENGINE,3/13/2020,3,PlasticContaminant,31.54761905,0,1,0
ENGINE,3/14/2020,3,PlasticContaminant,27.20588235,0,1,0
ENGINE,3/16/2020,3,PlasticContaminant,48.60544218,0,1,0
ENGINE,3/17/2020,3,PlasticContaminant,35.83333333,0,1,0
UTOWN,1/13/2020,1,PlasticContaminant,71.20307336,1,0,0
UTOWN,1/14/2020,1,PlasticContaminant,58.99725024,1,0,0
UTOWN,1/15/2020,1,PlasticContaminant,60.75202797,1,0,0
UTOWN,1/17/2020,1,PlasticContaminant,59.16821912,1,0,0
UTOWN,1/18/2020,1,PlasticContaminant,51.77075482,1,0,0
UTOWN,1/19/2020,1,PlasticContaminant,45.96182671,1,0,0
UTOWN,1/20/2020,1,PlasticContaminant,68.75440712,1,0,0
UTOWN,1/21/2020,1,PlasticContaminant,71.12127838,1,0,0
UTOWN,1/22/2020,1,PlasticContaminant,51.36618882,1,0,0
UTOWN,1/23/2020,1,PlasticContaminant,65.58554206,1,0,0
UTOWN,1/29/2020,1,PlasticContaminant,61.31408121,1,0,0
UTOWN,1/30/2020,1,PlasticContaminant,54.86102511,1,0,0
UTOWN,1/31/2020,1,PlasticContaminant,65.94379788,1,0,0
UTOWN,2/1/2020,1,PlasticContaminant,66.24179443,1,0,0
UTOWN,2/3/2020,1,PlasticContaminant,55.92822679,1,0,0
UTOWN,2/4/2020,1,PlasticContaminant,62.01200651,1,0,0
UTOWN,2/5/2020,1,PlasticContaminant,62.59776824,1,0,0
UTOWN,2/6/2020,1,PlasticContaminant,60.7117814,1,0,0
UTOWN,2/10/2020,1,PlasticContaminant,51.37165645,1,0,0
UTOWN,2/11/2020,2,PlasticContaminant,57.84991749,1,1,1
UTOWN,2/12/2020,2,PlasticContaminant,53.29004329,1,1,1
UTOWN,2/13/2020,2,PlasticContaminant,50.45446595,1,1,1
UTOWN,2/14/2020,2,PlasticContaminant,47.12583713,1,1,1
UTOWN,2/15/2020,2,PlasticContaminant,40.62786596,1,1,1
UTOWN,2/17/2020,2,PlasticContaminant,37.40759241,1,1,1
UTOWN,2/18/2020,2,PlasticContaminant,47.29782295,1,1,1
UTOWN,2/19/2020,2,PlasticContaminant,54.36643603,1,1,1
UTOWN,2/20/2020,2,PlasticContaminant,34.67923541,1,1,1
UTOWN,2/21/2020,2,PlasticContaminant,43.24164789,1,1,1
UTOWN,2/22/2020,2,PlasticContaminant,45.24154589,1,1,1
UTOWN,3/4/2020,3,PlasticContaminant,60.50039303,1,1,1
UTOWN,3/5/2020,3,PlasticContaminant,56.27016489,1,1,1
UTOWN,3/6/2020,3,PlasticContaminant,62.76200135,1,1,1
UTOWN,3/7/2020,3,PlasticContaminant,58.95912911,1,1,1
